run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K20_sw3_lam0.25,20,3,0.25,2,model.input_blocks.10,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,3,model.input_blocks.11,55,145,0.275,1.21800818,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,4,model.input_blocks.2,55,145,0.275,1.37996867,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,5,model.input_blocks.3,55,145,0.275,1.35665482,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,6,model.input_blocks.4,55,145,0.275,1.31052385,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,7,model.input_blocks.5,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,8,model.input_blocks.6,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,9,model.input_blocks.7,55,145,0.275,1.29874785,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,10,model.input_blocks.8,55,145,0.275,1.33575383,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,11,model.input_blocks.9,55,145,0.275,1.38588491,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,12,model.middle_block,55,145,0.275,1.31545601,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,13,model.output_blocks.0,56,144,0.28,1.81088728,4;2;4;4;4;2;4;4;4;3;4;3;4;2;2
sweep_K20_sw3_lam0.25,20,3,0.25,14,model.output_blocks.1,55,145,0.275,1.34102249,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,15,model.output_blocks.10,55,145,0.275,1.67826434,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,16,model.output_blocks.11,57,143,0.285,1.80721476,4;2;4;4;4;2;4;4;4;3;4;3;4;2;1
sweep_K20_sw3_lam0.25,20,3,0.25,17,model.output_blocks.2,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
